,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
13,5,5,1,1,5,5,5,5,5,5,4,5,5,5,5,3,1,5,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,1,1,1,1,1,1,2,1,2,2,1,1,1,4,1
14,5,1,1,4,5,5,1,5,5,3,4,3,5,5,3,4,5,5,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,3,1,3,1,1,2,3,4,2
15,1,3,1,1,5,5,6,1,5,5,1,5,5,5,5,4,4,5,3,1,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,2,1,4,1,1,1,1,2,1,1,1,2,1,2,3,1,1
16,1,1,1,2,5,5,1,1,5,5,5,1,4,5,5,1,4,5,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,3,2,1,2,1,1,1,1,1,1,2,3,1,1,2,1,1
17,1,1,1,1,4,6,1,5,5,1,6,1,5,5,4,3,5,5,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,1,1,1,2,1,1,1,2,1,1,1
18,1,1,1,1,4,5,4,5,5,1,1,1,5,5,1,3,5,5,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1
19,5,1,1,1,3,3,1,1,5,4,1,4,4,4,4,3,4,5,3,1,1,4,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,4,1,1,2,1,1,2,2,3,2,2,1,1,1,2
20,1,4,3,1,5,5,6,1,5,5,1,5,5,5,3,3,4,5,3,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,3,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,2,4,1
21,4,1,1,1,4,4,4,5,5,4,1,2,5,5,5,2,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,4,1
22,3,1,3,1,4,4,6,5,5,1,4,5,5,5,1,4,4,5,1,1,4,5,1,3,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,3
23,1,3,1,1,5,5,1,5,5,5,5,3,5,5,3,2,5,5,1,1,1,4,3,1,1,1,1,1,3,1,1,1,2,3,1,1,2,1,1,1,1,2,2,4,1,1,1,1,1,1,1,2,2,1,1,2,4,1
24,4,3,3,1,4,5,1,5,5,5,5,5,5,5,5,2,5,5,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,4,2
25,4,1,1,1,4,5,3,5,4,1,5,1,5,5,4,2,3,3,3,1,1,3,1,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
26,1,1,1,1,4,5,5,5,5,3,5,1,5,5,5,4,4,5,1,1,2,4,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3
27,5,3,1,1,4,5,5,5,5,1,4,3,5,4,5,1,3,5,3,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,1,1,2,4,3
28,1,1,4,1,3,5,5,5,5,4,4,5,5,4,5,1,4,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2
29,1,1,1,1,4,5,1,5,5,5,4,5,5,5,1,4,5,5,2,1,1,5,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,1,1,2,1,1,1,1,1,1,1,1,3,4,3
30,5,3,1,1,3,4,4,5,5,3,4,1,5,5,1,5,4,5,3,3,1,4,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
31,3,1,1,1,3,5,5,5,5,5,4,4,5,5,3,3,4,5,4,2,1,4,1,1,2,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,1,2,2,1,1,1,1,2,1,2
32,4,1,1,1,3,4,6,5,5,4,3,1,5,5,5,1,5,5,3,1,1,3,1,2,1,2,3,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,3,1,1,1,1,3,1,4,1
33,1,1,1,1,3,4,5,1,4,1,5,4,5,5,5,3,4,5,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2
34,1,2,1,1,3,5,5,1,5,1,5,1,5,3,5,1,3,5,2,1,1,4,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,3,2,1,2,2,1,1,2,1,3
35,5,1,1,1,5,5,6,5,5,1,4,5,4,5,5,3,4,5,3,1,1,1,1,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,4,1,1,1,1,1,1,1,2
36,1,2,1,5,4,5,1,5,5,4,3,1,5,5,4,4,4,5,3,2,1,1,1,3,1,1,3,1,3,1,1,1,1,1,3,1,1,1,2,1,1,2,2,1,1,1,1,1,1,3,1,1,2,1,1,2,4,2
